 [2023-03-21 11:36:26,230] Pre-Condition- Step 01: Open browser and navigate to website
 [2023-03-21 12:55:34,245] Pre-Condition - Step 02: Click to Register link
 [2023-03-21 12:55:35,651] Pre-Condition - Step 03: Enter to Firstname textbox
 [2023-03-21 12:55:35,950] Pre-Condition - Step 04: Enter to Lastname textbox
 [2023-03-21 12:55:36,265] Pre-Condition - Step 05: Enter to Email textbox
 [2023-03-21 12:55:36,480] Pre-Condition - Step 06: Enter to Password textbox
 [2023-03-21 12:55:36,705] Pre-Condition - Step 07: Enter to Confirm Password textbox
 [2023-03-21 12:55:36,985] Pre-Condition - Step 08: Click to Register link
 [2023-03-21 12:55:38,004] Pre-Condition- Step 09: Navigate to Login page
 [2023-03-21 12:55:38,718] Pre-Condition - Step 10: Enter to  Email textbox 
 [2023-03-21 12:55:38,981] Pre-Condition - Step 11: Enter to  Password textbox 
 [2023-03-21 12:55:39,268] Pre-Condition - Step 12: Click to login button 
 [2023-03-21 12:55:40,307] My_Account_01- Step 01: Click to My Account link
 [2023-03-21 12:55:40,896] My_Account_01- Step 01: Check to Female radio
 [2023-03-21 12:55:41,058] My_Account_01- Step 02: Enter to Firstname textbox
 [2023-03-21 12:55:41,313] My_Account_01- Step 03: Check to Lastname textbox
 [2023-03-21 12:55:41,622] My_Account_01- Step 04: Select day from dropdown
 [2023-03-21 12:55:41,893] My_Account_01- Step 05: Select month from dropdown
 [2023-03-21 12:55:42,148] My_Account_01- Step 06: Select year from dropdown
 [2023-03-21 12:55:42,400] My_Account_01- Step 07: Enter to Company name textbox
 [2023-03-21 12:55:42,731] My_Account_01- Step 08: Click to save button
 [2023-03-21 12:55:44,151] My_Account_01- Step 09: Verify Female radio is checked
 [2023-03-21 12:55:44,271] My_Account_01- Step 10: Verify Firstname textbox
 [2023-03-21 12:55:44,390] My_Account_01- Step 11: Verify Lastname textbox
 [2023-03-21 12:55:44,529] My_Account_01- Step 12: Verify Company name textbox
 [2023-03-21 12:55:44,669] My_Account_01- Step 13: Verify DateOfBirth
 [2023-03-21 12:55:44,810] My_Account_01- Step 14: Verify DateOfMonth
 [2023-03-21 12:55:44,931] My_Account_01- Step 15: Verify DateOfYear
 [2023-03-21 12:55:45,065] My_Account_02- Step 01: Click to Address menu
 [2023-03-21 12:55:45,747] My_Account_02- Step 02: Click to Add new button
 [2023-03-21 12:55:46,399] My_Account_02- Step 03: Enter to Firstname textbox
 [2023-03-21 12:55:46,690] My_Account_02- Step 04: Enter to Lastname textbox
 [2023-03-21 12:55:46,985] My_Account_02- Step 05: Enter to Email textbox
 [2023-03-21 12:55:47,316] My_Account_02- Step 06: Enter to Company textbox
 [2023-03-21 12:55:47,638] My_Account_02- Step 07: Select item from Country dropdown
 [2023-03-21 12:55:47,919] My_Account_02- Step 08: Select item from State / province dropdown
 [2023-03-21 12:55:48,250] My_Account_02- Step 09: Enter to City textbox
 [2023-03-21 12:55:48,574] My_Account_02- Step 10: Enter to Address 1 textbox
 [2023-03-21 12:55:48,891] My_Account_02- Step 11: Enter to Address 2 textbox
 [2023-03-21 12:55:49,197] My_Account_02- Step 12: Enter to Zip / postal code textbox
 [2023-03-21 12:55:49,473] My_Account_02- Step 13: Enter to Phone number textbox
 [2023-03-21 12:55:49,800] My_Account_02- Step 15: Enter to fax number textbox
 [2023-03-21 12:55:50,114] My_Account_02- Step 16: Click to Save button
 [2023-03-21 12:55:52,011] My_Account_02- Step 17: Verify address added successfully
 [2023-03-21 12:55:52,135] My_Account_03 - Step 01: Navigate to Change Password link
 [2023-03-21 12:55:52,748] My_Account_03 - Step 02: Enter to Old Password textbox
 [2023-03-21 12:55:53,058] My_Account_03 - Step 03: Enter to New Password textbox
 [2023-03-21 12:55:53,373] My_Account_03 - Step 04: Enter to Confirm Password textbox
 [2023-03-21 12:55:53,655] My_Account_03 - Step 05: Click to Change Password button
 [2023-03-21 12:55:54,510] My_Account_03 - Step 06: Verify changed password successfully
 [2023-03-21 12:55:54,645] My_Account_03 - Step 07: Close changed password successfully message
 [2023-03-21 12:55:55,954] My_Account_03 - Step 08: Click to Logout link
 [2023-03-21 12:55:56,991] My_Account_03 - Step 09: Click to Login link
 [2023-03-21 12:55:57,648] My_Account_03 - Step 10: Enter to Email textbox
 [2023-03-21 12:55:57,927] My_Account_03 - Step 11: Enter to Password textbox
 [2023-03-21 12:55:58,258] My_Account_03 - Step 12: Click To Login Button
 [2023-03-21 12:55:58,934] My_Account_03 - Step 13: Verify login failed message is displayed
 [2023-03-21 12:55:59,093] My_Account_03 - Step 14: Enter to Password textbox
 [2023-03-21 12:55:59,400] My_Account_03 - Step 15: Click To Login Button
 [2023-03-21 12:56:00,478] My_Account_03 - Step 16: Verify login successfully
 [2023-03-21 12:56:00,632] My_Account_04 - Step 1: Hover To Computers
 [2023-03-21 12:56:00,903] My_Account_04 - Step 2: Click to Desktops in Computers menu
 [2023-03-21 12:56:02,486] My_Account_04 - Step 3: Click to Product
 [2023-03-21 12:56:03,913] My_Account_04 - Step 4: Click Add your review link
 [2023-03-21 12:56:04,582] My_Account_04 - Step 5: Enter to Review title textbox
 [2023-03-21 12:56:04,865] My_Account_04 - Step 6: Enter to Review text textbox
 [2023-03-21 12:56:05,056] My_Account_04 - Step 7: Click to Rating radio
 [2023-03-21 12:56:05,218] My_Account_04 - Step 8: Click to Submit button
 [2023-03-21 12:56:06,020] My_Account_04 - Step 9: Click to My Account link
 [2023-03-21 12:56:06,638] My_Account_04 - Step 10: Navigate My Product Review link
 [2023-03-21 12:56:07,321] My_Account_04 - Step 11: Verify Review Title
 [2023-03-21 12:56:07,400] My_Account_04 - Step 12: Verify Review Text
 [2023-03-21 12:56:07,455] My_Account_04 - Step 13: Verify Rating value
 [2023-03-21 12:56:07,524] OS name = windows 11
 [2023-03-21 12:56:07,525] Driver instance name = chromedriver: chrome on windows (bac73b8115dca84439c2091036ae0f70)
 [2023-03-21 13:03:34,643] Pre-Condition- Step 01: Open browser and navigate to website
 [2023-03-21 13:03:41,640] Pre-Condition - Step 02: Click to Register link
 [2023-03-21 13:03:43,026] Pre-Condition - Step 03: Enter to Firstname textbox
 [2023-03-21 13:03:43,170] Pre-Condition - Step 04: Enter to Lastname textbox
 [2023-03-21 13:03:43,331] Pre-Condition - Step 05: Enter to Email textbox
 [2023-03-21 13:03:43,507] Pre-Condition - Step 06: Enter to Password textbox
 [2023-03-21 13:03:43,682] Pre-Condition - Step 07: Enter to Confirm Password textbox
 [2023-03-21 13:03:43,846] Pre-Condition - Step 08: Click to Register link
 [2023-03-21 13:03:44,790] Pre-Condition- Step 09: Navigate to Login page
 [2023-03-21 13:03:45,944] Pre-Condition - Step 10: Enter to  Email textbox 
 [2023-03-21 13:03:46,121] Pre-Condition - Step 11: Enter to  Password textbox 
 [2023-03-21 13:03:46,284] Pre-Condition - Step 12: Click to login button 
 [2023-03-21 13:03:47,347] My_Account_01- Step 01: Click to My Account link
 [2023-03-21 13:03:47,891] My_Account_01- Step 01: Check to Female radio
 [2023-03-21 13:03:48,259] My_Account_01- Step 02: Enter to Firstname textbox
 [2023-03-21 13:03:48,427] My_Account_01- Step 03: Check to Lastname textbox
 [2023-03-21 13:03:48,620] My_Account_01- Step 04: Select day from dropdown
 [2023-03-21 13:03:49,024] My_Account_01- Step 05: Select month from dropdown
 [2023-03-21 13:03:49,381] My_Account_01- Step 06: Select year from dropdown
 [2023-03-21 13:03:49,696] My_Account_01- Step 07: Enter to Company name textbox
 [2023-03-21 13:03:49,847] My_Account_01- Step 08: Click to save button
 [2023-03-21 13:03:50,709] My_Account_01- Step 09: Verify Female radio is checked
 [2023-03-21 13:03:50,801] My_Account_01- Step 10: Verify Firstname textbox
 [2023-03-21 13:03:50,927] My_Account_01- Step 11: Verify Lastname textbox
 [2023-03-21 13:03:51,055] My_Account_01- Step 12: Verify Company name textbox
 [2023-03-21 13:03:51,162] My_Account_01- Step 13: Verify DateOfBirth
 [2023-03-21 13:03:51,230] My_Account_01- Step 14: Verify DateOfMonth
 [2023-03-21 13:03:51,276] My_Account_01- Step 15: Verify DateOfYear
 [2023-03-21 13:03:51,330] My_Account_02- Step 01: Click to Address menu
 [2023-03-21 13:03:51,799] My_Account_02- Step 02: Click to Add new button
 [2023-03-21 13:03:52,325] My_Account_02- Step 03: Enter to Firstname textbox
 [2023-03-21 13:03:52,461] My_Account_02- Step 04: Enter to Lastname textbox
 [2023-03-21 13:03:52,620] My_Account_02- Step 05: Enter to Email textbox
 [2023-03-21 13:03:52,803] My_Account_02- Step 06: Enter to Company textbox
 [2023-03-21 13:03:52,971] My_Account_02- Step 07: Select item from Country dropdown
 [2023-03-21 13:03:53,354] My_Account_02- Step 08: Select item from State / province dropdown
 [2023-03-21 13:03:53,484] My_Account_02- Step 09: Enter to City textbox
 [2023-03-21 13:03:53,569] My_Account_02- Step 10: Enter to Address 1 textbox
 [2023-03-21 13:03:53,686] My_Account_02- Step 11: Enter to Address 2 textbox
 [2023-03-21 13:03:53,840] My_Account_02- Step 12: Enter to Zip / postal code textbox
 [2023-03-21 13:03:54,096] My_Account_02- Step 13: Enter to Phone number textbox
 [2023-03-21 13:03:54,248] My_Account_02- Step 15: Enter to fax number textbox
 [2023-03-21 13:03:54,362] My_Account_02- Step 16: Click to Save button
 [2023-03-21 13:03:55,465] My_Account_02- Step 17: Verify address added successfully
 [2023-03-21 13:03:55,655] My_Account_03 - Step 01: Navigate to Change Password link
 [2023-03-21 13:03:56,197] My_Account_03 - Step 02: Enter to Old Password textbox
 [2023-03-21 13:03:56,381] My_Account_03 - Step 03: Enter to New Password textbox
 [2023-03-21 13:03:56,522] My_Account_03 - Step 04: Enter to Confirm Password textbox
 [2023-03-21 13:03:56,673] My_Account_03 - Step 05: Click to Change Password button
 [2023-03-21 13:03:57,164] My_Account_03 - Step 06: Verify changed password successfully
 [2023-03-21 13:03:57,312] My_Account_03 - Step 07: Close changed password successfully message
 [2023-03-21 13:03:58,616] My_Account_03 - Step 08: Click to Logout link
 [2023-03-21 13:03:59,526] My_Account_03 - Step 09: Click to Login link
 [2023-03-21 13:04:00,546] My_Account_03 - Step 10: Enter to Email textbox
 [2023-03-21 13:04:00,698] My_Account_03 - Step 11: Enter to Password textbox
 [2023-03-21 13:04:00,854] My_Account_03 - Step 12: Click To Login Button
 [2023-03-21 13:04:01,847] My_Account_03 - Step 13: Verify login failed message is displayed
 [2023-03-21 13:04:01,940] My_Account_03 - Step 14: Enter to Password textbox
 [2023-03-21 13:04:02,063] My_Account_03 - Step 15: Click To Login Button
 [2023-03-21 13:04:02,977] My_Account_03 - Step 16: Verify login successfully
 [2023-03-21 13:04:03,102] My_Account_04 - Step 1: Hover To Computers
 [2023-03-21 13:04:03,320] My_Account_04 - Step 2: Click to Desktops in Computers menu
 [2023-03-21 13:04:04,940] My_Account_04 - Step 3: Click to Product
 [2023-03-21 13:04:06,342] My_Account_04 - Step 4: Click Add your review link
 [2023-03-21 13:04:06,841] My_Account_04 - Step 5: Enter to Review title textbox
 [2023-03-21 13:04:07,028] My_Account_04 - Step 6: Enter to Review text textbox
 [2023-03-21 13:04:07,188] My_Account_04 - Step 7: Click to Rating radio
 [2023-03-21 13:04:07,562] My_Account_04 - Step 8: Click to Submit button
 [2023-03-21 13:04:08,088] My_Account_04 - Step 9: Click to My Account link
 [2023-03-21 13:04:08,625] My_Account_04 - Step 10: Navigate My Product Review link
 [2023-03-21 13:04:09,183] My_Account_04 - Step 11: Verify Review Title
 [2023-03-21 13:04:09,299] My_Account_04 - Step 12: Verify Review Text
 [2023-03-21 13:04:09,394] My_Account_04 - Step 13: Verify Rating value
 [2023-03-21 13:04:09,485] OS name = windows 11
 [2023-03-21 13:04:09,485] Driver instance name = firefoxdriver: firefox on windows (ec9d1043-f9fd-435f-82d0-54f89058a0f8)
 [2023-03-21 13:14:26,904] Pre-Condition- Step 01: Open browser and navigate to website
 [2023-03-21 13:14:31,639] Pre-Condition - Step 02: Click to Register link
 [2023-03-21 13:14:32,834] Pre-Condition - Step 03: Enter to Firstname textbox
 [2023-03-21 13:14:32,970] Pre-Condition - Step 04: Enter to Lastname textbox
 [2023-03-21 13:14:33,146] Pre-Condition - Step 05: Enter to Email textbox
 [2023-03-21 13:14:33,328] Pre-Condition - Step 06: Enter to Password textbox
 [2023-03-21 13:14:33,480] Pre-Condition - Step 07: Enter to Confirm Password textbox
 [2023-03-21 13:14:33,623] Pre-Condition - Step 08: Click to Register link
 [2023-03-21 13:14:34,429] Pre-Condition- Step 09: Navigate to Login page
 [2023-03-21 13:14:34,929] Pre-Condition - Step 10: Enter to  Email textbox 
 [2023-03-21 13:14:35,070] Pre-Condition - Step 11: Enter to  Password textbox 
 [2023-03-21 13:14:35,211] Pre-Condition - Step 12: Click to login button 
 [2023-03-21 13:14:36,091] My_Account_01- Step 01: Click to My Account link
 [2023-03-21 13:14:36,584] My_Account_01- Step 01: Check to Female radio
 [2023-03-21 13:14:36,916] My_Account_01- Step 02: Enter to Firstname textbox
 [2023-03-21 13:14:37,096] My_Account_01- Step 03: Check to Lastname textbox
 [2023-03-21 13:14:37,258] My_Account_01- Step 04: Select day from dropdown
 [2023-03-21 13:14:37,631] My_Account_01- Step 05: Select month from dropdown
 [2023-03-21 13:14:37,976] My_Account_01- Step 06: Select year from dropdown
 [2023-03-21 13:14:38,332] My_Account_01- Step 07: Enter to Company name textbox
 [2023-03-21 13:14:38,475] My_Account_01- Step 08: Click to save button
 [2023-03-21 13:14:39,221] My_Account_01- Step 09: Verify Female radio is checked
 [2023-03-21 13:14:39,321] My_Account_01- Step 10: Verify Firstname textbox
 [2023-03-21 13:14:39,415] My_Account_01- Step 11: Verify Lastname textbox
 [2023-03-21 13:14:39,513] My_Account_01- Step 12: Verify Company name textbox
 [2023-03-21 13:14:39,636] My_Account_01- Step 13: Verify DateOfBirth
 [2023-03-21 13:14:39,736] My_Account_01- Step 14: Verify DateOfMonth
 [2023-03-21 13:14:39,831] My_Account_01- Step 15: Verify DateOfYear
 [2023-03-21 13:14:39,925] My_Account_02- Step 01: Click to Address menu
 [2023-03-21 13:14:40,411] My_Account_02- Step 02: Click to Add new button
 [2023-03-21 13:14:40,914] My_Account_02- Step 03: Enter to Firstname textbox
 [2023-03-21 13:14:41,092] My_Account_02- Step 04: Enter to Lastname textbox
 [2023-03-21 13:14:41,257] My_Account_02- Step 05: Enter to Email textbox
 [2023-03-21 13:14:41,430] My_Account_02- Step 06: Enter to Company textbox
 [2023-03-21 13:14:41,578] My_Account_02- Step 07: Select item from Country dropdown
 [2023-03-21 13:14:41,930] My_Account_02- Step 08: Select item from State / province dropdown
 [2023-03-21 13:14:42,047] My_Account_02- Step 09: Enter to City textbox
 [2023-03-21 13:14:42,158] My_Account_02- Step 10: Enter to Address 1 textbox
 [2023-03-21 13:14:42,303] My_Account_02- Step 11: Enter to Address 2 textbox
 [2023-03-21 13:14:42,456] My_Account_02- Step 12: Enter to Zip / postal code textbox
 [2023-03-21 13:14:42,621] My_Account_02- Step 13: Enter to Phone number textbox
 [2023-03-21 13:14:42,772] My_Account_02- Step 15: Enter to fax number textbox
 [2023-03-21 13:14:42,911] My_Account_02- Step 16: Click to Save button
 [2023-03-21 13:14:44,433] My_Account_02- Step 17: Verify address added successfully
 [2023-03-21 13:14:44,554] My_Account_03 - Step 01: Navigate to Change Password link
 [2023-03-21 13:14:45,027] My_Account_03 - Step 02: Enter to Old Password textbox
 [2023-03-21 13:14:45,157] My_Account_03 - Step 03: Enter to New Password textbox
 [2023-03-21 13:14:45,276] My_Account_03 - Step 04: Enter to Confirm Password textbox
 [2023-03-21 13:14:45,428] My_Account_03 - Step 05: Click to Change Password button
 [2023-03-21 13:14:45,972] My_Account_03 - Step 06: Verify changed password successfully
 [2023-03-21 13:14:46,102] My_Account_03 - Step 07: Close changed password successfully message
 [2023-03-21 13:14:47,423] My_Account_03 - Step 08: Click to Logout link
 [2023-03-21 13:14:48,206] My_Account_03 - Step 09: Click to Login link
 [2023-03-21 13:14:48,728] My_Account_03 - Step 10: Enter to Email textbox
 [2023-03-21 13:14:48,879] My_Account_03 - Step 11: Enter to Password textbox
 [2023-03-21 13:14:49,023] My_Account_03 - Step 12: Click To Login Button
 [2023-03-21 13:14:49,544] My_Account_03 - Step 13: Verify login failed message is displayed
 [2023-03-21 13:14:49,655] My_Account_03 - Step 14: Enter to Password textbox
 [2023-03-21 13:14:49,780] My_Account_03 - Step 15: Click To Login Button
 [2023-03-21 13:14:50,560] My_Account_03 - Step 16: Verify login successfully
 [2023-03-21 13:14:50,694] My_Account_04 - Step 1: Hover To Computers
 [2023-03-21 13:14:50,906] My_Account_04 - Step 2: Click to Desktops in Computers menu
 [2023-03-21 13:14:52,360] My_Account_04 - Step 3: Click to Product
 [2023-03-21 13:14:54,252] My_Account_04 - Step 4: Click Add your review link
 [2023-03-21 13:14:54,698] My_Account_04 - Step 5: Enter to Review title textbox
 [2023-03-21 13:14:54,799] My_Account_04 - Step 6: Enter to Review text textbox
 [2023-03-21 13:14:54,953] My_Account_04 - Step 7: Click to Rating radio
 [2023-03-21 13:14:55,326] My_Account_04 - Step 8: Click to Submit button
 [2023-03-21 13:14:55,763] My_Account_04 - Step 9: Click to My Account link
 [2023-03-21 13:14:56,211] My_Account_04 - Step 10: Navigate My Product Review link
 [2023-03-21 13:14:56,687] My_Account_04 - Step 11: Verify Review Title
 [2023-03-21 13:14:56,772] My_Account_04 - Step 12: Verify Review Text
 [2023-03-21 13:14:56,853] My_Account_04 - Step 13: Verify Rating value
 [2023-03-21 13:14:56,937] OS name = windows 11
 [2023-03-21 13:14:56,938] Driver instance name = firefoxdriver: firefox on windows (fadcd549-49c8-49ee-b861-777e4d65375a)
 [2023-03-21 13:16:45,269] Pre-Condition- Step 01: Open browser and navigate to website
 [2023-03-21 13:16:50,829] Pre-Condition - Step 02: Click to Register link
 [2023-03-21 13:16:52,370] Pre-Condition - Step 03: Enter to Firstname textbox
 [2023-03-21 13:16:52,509] Pre-Condition - Step 04: Enter to Lastname textbox
 [2023-03-21 13:16:52,648] Pre-Condition - Step 05: Enter to Email textbox
 [2023-03-21 13:16:52,800] Pre-Condition - Step 06: Enter to Password textbox
 [2023-03-21 13:16:52,958] Pre-Condition - Step 07: Enter to Confirm Password textbox
 [2023-03-21 13:16:53,131] Pre-Condition - Step 08: Click to Register link
 [2023-03-21 13:16:54,949] Pre-Condition- Step 09: Navigate to Login page
 [2023-03-21 13:17:23,213] Pre-Condition- Step 01: Open browser and navigate to website
 [2023-03-21 13:17:28,905] Pre-Condition - Step 02: Click to Register link
 [2023-03-21 13:17:30,294] Pre-Condition - Step 03: Enter to Firstname textbox
 [2023-03-21 13:17:30,442] Pre-Condition - Step 04: Enter to Lastname textbox
 [2023-03-21 13:17:30,622] Pre-Condition - Step 05: Enter to Email textbox
 [2023-03-21 13:17:30,752] Pre-Condition - Step 06: Enter to Password textbox
 [2023-03-21 13:17:30,884] Pre-Condition - Step 07: Enter to Confirm Password textbox
 [2023-03-21 13:17:31,042] Pre-Condition - Step 08: Click to Register link
 [2023-03-21 13:17:31,957] Pre-Condition- Step 09: Navigate to Login page
 [2023-03-21 13:17:32,484] Pre-Condition - Step 10: Enter to  Email textbox 
 [2023-03-21 13:17:32,688] Pre-Condition - Step 11: Enter to  Password textbox 
 [2023-03-21 13:17:32,867] Pre-Condition - Step 12: Click to login button 
 [2023-03-21 13:17:33,817] My_Account_01- Step 01: Click to My Account link
 [2023-03-21 13:17:34,394] My_Account_01- Step 01: Check to Female radio
 [2023-03-21 13:17:34,788] My_Account_01- Step 02: Enter to Firstname textbox
 [2023-03-21 13:17:34,951] My_Account_01- Step 03: Check to Lastname textbox
 [2023-03-21 13:17:35,099] My_Account_01- Step 04: Select day from dropdown
 [2023-03-21 13:17:35,480] My_Account_01- Step 05: Select month from dropdown
 [2023-03-21 13:17:35,816] My_Account_01- Step 06: Select year from dropdown
 [2023-03-21 13:17:36,150] My_Account_01- Step 07: Enter to Company name textbox
 [2023-03-21 13:17:36,291] My_Account_01- Step 08: Click to save button
 [2023-03-21 13:17:37,160] My_Account_01- Step 09: Verify Female radio is checked
 [2023-03-21 13:17:37,292] My_Account_01- Step 10: Verify Firstname textbox
 [2023-03-21 13:17:37,404] My_Account_01- Step 11: Verify Lastname textbox
 [2023-03-21 13:17:37,514] My_Account_01- Step 12: Verify Company name textbox
 [2023-03-21 13:17:37,643] My_Account_01- Step 13: Verify DateOfBirth
 [2023-03-21 13:17:37,742] My_Account_01- Step 14: Verify DateOfMonth
 [2023-03-21 13:17:37,847] My_Account_01- Step 15: Verify DateOfYear
 [2023-03-21 13:17:37,937] My_Account_02- Step 01: Click to Address menu
 [2023-03-21 13:17:38,493] My_Account_02- Step 02: Click to Add new button
 [2023-03-21 13:17:39,026] My_Account_02- Step 03: Enter to Firstname textbox
 [2023-03-21 13:17:39,175] My_Account_02- Step 04: Enter to Lastname textbox
 [2023-03-21 13:17:39,343] My_Account_02- Step 05: Enter to Email textbox
 [2023-03-21 13:17:39,526] My_Account_02- Step 06: Enter to Company textbox
 [2023-03-21 13:17:39,667] My_Account_02- Step 07: Select item from Country dropdown
 [2023-03-21 13:17:40,056] My_Account_02- Step 08: Select item from State / province dropdown
 [2023-03-21 13:17:40,177] My_Account_02- Step 09: Enter to City textbox
 [2023-03-21 13:17:40,290] My_Account_02- Step 10: Enter to Address 1 textbox
 [2023-03-21 13:17:40,424] My_Account_02- Step 11: Enter to Address 2 textbox
 [2023-03-21 13:17:40,549] My_Account_02- Step 12: Enter to Zip / postal code textbox
 [2023-03-21 13:17:40,705] My_Account_02- Step 13: Enter to Phone number textbox
 [2023-03-21 13:17:40,917] My_Account_02- Step 15: Enter to fax number textbox
